Term,TF1,TF2,TF3,TF4,TF5,TF6,TFN1,TFN2,TFN3,TFN4,TFN5,TFN6,DF,IDF,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDFN1,TFIDFN2,TFIDFN3,TFIDFN4,TFIDFN5,TFIDFN6
bb,0,2,0,0,0,0,0.0,0.0426,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.2713,0.0,0.0,0.0,0.0
bedak,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
beli,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
bgt,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0571,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.1286,0.0,0.0,0.0,0.0,0.0,0.3145,0.0
biar,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
bibir,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
bikin,1,0,1,0,0,0,0.0233,0.0,0.0167,0.0,0.0,0.0,2,1.8473,0.043,0.0,0.0308,0.0,0.0,0.0,0.0945,0.0,0.1028,0.0,0.0,0.0
bikinin,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
biru,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
body,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
bodycare,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
botol,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
breakout,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
buang,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
buat,0,0,1,1,1,0,0.0,0.0,0.0167,0.0357,0.0286,0.0,3,1.5596,0.0,0.0,0.026,0.0557,0.0446,0.0,0.0,0.0,0.0868,0.1435,0.1091,0.0
budget,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
bukn,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
bulan,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
butir,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
cica,2,0,0,0,0,0,0.0465,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.1048,0.0,0.0,0.0,0.0,0.0,0.2302,0.0,0.0,0.0,0.0,0.0
coba,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
cocok,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
colorfit,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
crack,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
cream,0,2,0,0,0,0,0.0,0.0426,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.2713,0.0,0.0,0.0,0.0
dimasukin,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
doang,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
dong,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
duhhh,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
dulu,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
dunia,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
eh,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
eldridge,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
emg,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
emuahcantiknya,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
enak,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
entah,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
everyday,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
farasya,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
foundation,0,1,0,1,0,0,0.0,0.0213,0.0,0.0357,0.0,0.0,2,1.8473,0.0,0.0393,0.0,0.0659,0.0,0.0,0.0,0.111,0.0,0.1698,0.0,0.0
ga,2,0,3,0,0,0,0.0465,0.0,0.05,0.0,0.0,0.0,2,1.8473,0.0859,0.0,0.0924,0.0,0.0,0.0,0.1887,0.0,0.3085,0.0,0.0,0.0
gampang,0,2,0,0,0,0,0.0,0.0426,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.2713,0.0,0.0,0.0,0.0
gmn,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
goda,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
gue,5,0,0,0,0,0,0.1163,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.262,0.0,0.0,0.0,0.0,0.0,0.5755,0.0,0.0,0.0,0.0,0.0
