Term,TF1,TF2,TF3,TF4,TF5,TF6,TFN1,TFN2,TFN3,TFN4,TFN5,TFN6,DF,IDF,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDFN1,TFIDFN2,TFIDFN3,TFIDFN4,TFIDFN5,TFIDFN6
lightening,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
lindung,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
lip,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
lipstik,0,0,2,0,0,0,0.0,0.0,0.0333,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.2504,0.0,0.0,0.0
lisa,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
lokal,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
lotion,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
luv,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
makeupnya,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
malah,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
mana,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
mandi,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
mawadah,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
merk,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
milik,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
muahalll,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
mugwort,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
muka,2,2,0,0,0,0,0.0465,0.0426,0.0,0.0,0.0,0.0,2,1.8473,0.0859,0.0787,0.0,0.0,0.0,0.0,0.1887,0.2224,0.0,0.0,0.0,0.0
nacific,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
nempel,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
ngelopek,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
ngilang,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
ngomongin,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
nya,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
nyata,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
nyatu,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
oily,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
overprice,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
pa,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
pake,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0571,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.1286,0.0,0.0,0.0,0.0,0.0,0.3145,0.0
palagi,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
parah,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
parahhhh,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
partikel,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
pas,1,0,1,0,0,0,0.0233,0.0,0.0167,0.0,0.0,0.0,2,1.8473,0.043,0.0,0.0308,0.0,0.0,0.0,0.0945,0.0,0.1028,0.0,0.0,0.0
patut,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
pdhl,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
pecah,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
pegang,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
pk,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
pke,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
pokok,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
powder,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
produk,0,1,1,1,0,0,0.0,0.0213,0.0167,0.0357,0.0,0.0,3,1.5596,0.0,0.0332,0.026,0.0557,0.0,0.0,0.0,0.0938,0.0868,0.1435,0.0,0.0
punya,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
purging,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
rambut,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
rendah,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
review,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
riview,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
rutin,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
sabun,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
salah,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
sama,0,1,1,1,1,0,0.0,0.0213,0.0167,0.0357,0.0286,0.0,4,1.3365,0.0,0.0285,0.0223,0.0477,0.0382,0.0,0.0,0.0805,0.0745,0.1229,0.0934,0.0
satu,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
sbg,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
sehat,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
selalu,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.125,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.2816,0.0,0.0,0.0,0.0,0.0,0.4757
selalusakinah,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
seri,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
sih,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
spf,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
stop,2,0,0,0,0,0,0.0465,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.1048,0.0,0.0,0.0,0.0,0.0,0.2302,0.0,0.0,0.0,0.0,0.0
suka,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
sumpah,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
susah,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
swtamienemuahwasalam,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,1,2.2528,0.0,0.0,0.0,0.0,0.0,0.1408,0.0,0.0,0.0,0.0,0.0,0.2379
tahan,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
tasya,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0286,0.0625,2,1.8473,0.0,0.0,0.0,0.0,0.0528,0.1155,0.0,0.0,0.0,0.0,0.1291,0.1951
tekstur,0,0,1,0,0,0,0.0,0.0,0.0167,0.0,0.0,0.0,1,2.2528,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0
telah,0,1,0,0,0,0,0.0,0.0213,0.0,0.0,0.0,0.0,1,2.2528,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.1356,0.0,0.0,0.0,0.0
ter,0,0,0,1,0,0,0.0,0.0,0.0,0.0357,0.0,0.0,1,2.2528,0.0,0.0,0.0,0.0804,0.0,0.0,0.0,0.0,0.0,0.2071,0.0,0.0
tiper,1,0,0,0,0,0,0.0233,0.0,0.0,0.0,0.0,0.0,1,2.2528,0.0525,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0
tp,1,0,1,0,0,0,0.0233,0.0,0.0167,0.0,0.0,0.0,2,1.8473,0.043,0.0,0.0308,0.0,0.0,0.0,0.0945,0.0,0.1028,0.0,0.0,0.0
tpi,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0286,0.0,1,2.2528,0.0,0.0,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,0.0,0.1575,0.0
